Annotated sentence	Intent	Training
Tell me when it will be [temperate](condition_temperature) at [Carl's Corner](city), in [NV](state)	GetWeather	True
What will the weather be in [Carlock](city) on [nov. the 9th](timeRange)?	GetWeather	True
Tell me the weather forecast for [1 month from now](timeRange) in [Wilkesboro](city)	GetWeather	True
weather in [Hillsview](city) [MA](state)	GetWeather	True
What will the weather be [three hours from now](timeRange) [within walking distance](spatial_relation) of [Okanogan National Forest](geographic_poi)?	GetWeather	True
What is the [cloud](condition_description) condition [here](current_location) for [June fifteenth, 2026](timeRange)	GetWeather	True
What will the weather be in [Berville](city) [AK](state) on [Feb. 6, 2017](timeRange)?	GetWeather	True
Weather in [Cairngorms-Nationalpark](geographic_poi) [close from](spatial_relation) [freezing](condition_temperature)	GetWeather	True
Will it be [colder](condition_temperature) in [Postelle](city) at [10:31 a.m.](timeRange)?	GetWeather	True
How [hot](condition_temperature) is it in [Hackamore](city)	GetWeather	True
is it [freezing](condition_temperature) in [Prompton](city)	GetWeather	True
Weather at [Navajo National Monument](geographic_poi) on [fri.](timeRange)	GetWeather	True
Will it be [chillier](condition_temperature) in [Uruguay](country) [in 213 days](timeRange)?	GetWeather	True
Will there be a [blizzard](condition_description) in [Guadeloupe](country)?	GetWeather	True
is it going ot be [chillier](condition_temperature) in [Maumee](city)	GetWeather	True
I want to eat in [Rowan Bay](city) on a nice [cloud](condition_description) less day	GetWeather	True
What will the weather be [here](current_location) on [January twenty-first, 2029](timeRange)?	GetWeather	True
What is the weather like in [Wyatte](city)	GetWeather	True
What will the [humidity](condition_description) be [here](current_location) [this week](timeRange)?	GetWeather	True
Will it still be [warm](condition_temperature) [nineteen hours from now](timeRange) in [PA](state)	GetWeather	True
is [Morley Nelson Snake River Birds of Prey National Conservation Area](geographic_poi) going to be [cold](condition_temperature) [1 second from now](timeRange)	GetWeather	True
What will the weather be [in 3 years ](timeRange) in [Eros](city) [NC](state)?	GetWeather	True
Will it be [snowy](condition_description) at [04:43 a.m.](timeRange) in [North Carolina](state)	GetWeather	True
what is the forecast for [Gambier](city)	GetWeather	True
What kind of [temperate](condition_temperature) will be in [Slade](city)?	GetWeather	True
what is the forecast for [Sea Isle City](city) in [Louisiana](state) for [warmer](condition_temperature) weather	GetWeather	True
Tell me the weather forecast for [Island Mountain](city)	GetWeather	True
Will it be [cold](condition_temperature) [neighboring](spatial_relation) [Antlers](city) on [aug. 22](timeRange)?	GetWeather	True
Will the weather be [foggy](condition_description) in [Vatican](country) [West Carson](city) [in 1 hour and one minute](timeRange)?	GetWeather	True
What's the weather in [New Zealand](country)?	GetWeather	True
What will the weather be in [Montserrat](country)?	GetWeather	True
What will the weather be [faraway](spatial_relation) from [here](current_location)?	GetWeather	False
Will there be [fog](condition_description) in [Tahquamenon Falls State Park](geographic_poi)?	GetWeather	False
Tell me the weather forecast for [Gibsland](city)	GetWeather	False
Is there a [storm](condition_description) [now](timeRange) in [NC](state)?	GetWeather	False
What will the weather be in [Monument of Lihula](geographic_poi) on [december the 5th](timeRange)?	GetWeather	False
Weather [next year](timeRange) in [Dominica](country)	GetWeather	False
When will it be [hot](condition_temperature) [here](current_location)	GetWeather	False
What will the weather be [in 1 day](timeRange) in [Kuwait](country)?	GetWeather	False
What kind of weather will be in [Ukraine](country) [one minute from now](timeRange)?	GetWeather	False
[humidity](condition_description) in [Olvey](city) [New Hampshire](state)	GetWeather	False
What's the weather going to be in [UT](state)?	GetWeather	False
[humidity](condition_description) [not far](spatial_relation) from [Colorado City](city) on [November the 7th, 2024](timeRange)	GetWeather	False
What is the forecast for [Wyoming](state) at [Stanardsville](city) during the [storm](condition_description)	GetWeather	False
What will the weather be in [North Carolina](state)?	GetWeather	False
what is the forecast starting [11 weeks from now](timeRange) [nearby](spatial_relation) the state of [Wisconsin](state)	GetWeather	False
Will it be [rainy](condition_description) at [Sunrise](timeRange) in [Ramey](city) [Saudi Arabia](country)?	GetWeather	False
Check the forecast for [Nebraska](state).	GetWeather	False
Will it be [warmer](condition_temperature) in [North Korea](country) at [nineteen o'clock](timeRange)	GetWeather	False
Let me know the weather forecast around [ten Pm](timeRange) [faraway](spatial_relation) from [here](current_location) in [Park Narodowy Brimstone Hill Fortress](geographic_poi).	GetWeather	False
Will it be [stormy](condition_description) in the [Ouachita National Forest](geographic_poi)?	GetWeather	False
Tell me if it will be [snowy](condition_description) [8 hours from now](timeRange) in [Mount Airy](city), [VI](state)	GetWeather	False
What will the weather be [nineteen hours from now](timeRange) [neighboring](spatial_relation) [Saint Kitts and Nevis](country)?	GetWeather	False
Will there be [hail](condition_description) on [11/12/2036](timeRange) in [Singapore](country)	GetWeather	False
Will it be [colder](condition_temperature) [here](current_location) [in 48 and a half weeks](timeRange)	GetWeather	False
What's the weather going to be in [Knobel](city)?	GetWeather	False
What will the weather be in [Dane](city) on [sep. the fifth, 2030](timeRange)?	GetWeather	False
What will the weather be in [Ohio](state)?	GetWeather	False
I need to know the weather for [Jan. the 3rd](timeRange) in [Mexico](country) when I go to [Port Vue](city)	GetWeather	False
what is the forecast for [Ōtone Prefectural Natural Park](geographic_poi) [in 1 hour](timeRange) and [within the same area](spatial_relation)	GetWeather	False
What kind of weather is forecast around [one pm](timeRange)[near](spatial_relation) [Vatican](country)?	GetWeather	False
Will it be [chilly](condition_temperature) in [Weldona](city)?	GetWeather	False
Will it be [colder](condition_temperature) in [Virgin Islands National Park](geographic_poi)?	GetWeather	False
Will it be [hot](condition_temperature) at [13:19](timeRange) in [De Funiak Springs](city) [Serbia and Montenegro](country)?	GetWeather	False
What is the weather going to be like in [Virginia](state) on [st. patrick's day](timeRange)?	GetWeather	False
Weather in [Kaneville](city) [Maryland](state)	GetWeather	False
When is [sunrise](timeRange) for [AR](state)	GetWeather	False
What will the weather be [not far](spatial_relation) from [here](current_location) on [October the nineteenth, 2026](timeRange)?	GetWeather	False
what is the forecast for [Waurika](city) in [Samoa](country)	GetWeather	False
Tell me the weather forecast [here](current_location)	GetWeather	False
What is the weather forecast [nearby](spatial_relation) [Nicodemus](city)	GetWeather	False
What will the weather be in [nov.](timeRange) in [Brookneal](city)?	GetWeather	False
Will it be [colder](condition_temperature) [four months from now](timeRange) in [Suwanee](city) [AK](state)	GetWeather	False
What is the weather forecast for [Burundi](country)	GetWeather	False
What's the weather in [Benton City](city)?	GetWeather	False
What will the weather be in [KY](state) on [Oct. 16, 2036](timeRange)?	GetWeather	False
Will the [sun](condition_description) be out [in 1 minute](timeRange) in [Searcy](city), [Uganda](country)	GetWeather	False
what is the weather [here](current_location)	GetWeather	False
What will the weather be [one second from now](timeRange) in [Chad](country)?	GetWeather	False
What kind of weather is forecast in [MS](state) [now](timeRange)?	GetWeather	False
what is the forecast for [LA](state) for [freezing](condition_temperature) 	GetWeather	False
how [cold](condition_temperature) will it be [here](current_location) [in 1 second](timeRange) 	GetWeather	False
what is the forecast for [hotter](condition_temperature) weather at [Southford Falls State Park](geographic_poi)	GetWeather	False
what is the [overcast](condition_description) forecast for the [current position](current_location) starting on [jul. 19, 2030](timeRange)	GetWeather	False
what is the forecast for [Morocco](country)  at [Lake Ozark](city) on [December seventeenth, 2022](timeRange)	GetWeather	False
What will the [humidity](condition_description) be in the [current spot](current_location) at [15:19:29](timeRange)?	GetWeather	False
what is the forecast in [Nicodemus](city) and [nearby](spatial_relation)	GetWeather	False
What is the weather going to be like in [Benton](city) [Colorado](state) [in 2 and a half months](timeRange)	GetWeather	False
What's the weather forecast for [Bothe-Napa Valley State Park](geographic_poi) [close by](spatial_relation) [february 20](timeRange)?	GetWeather	False
what is the forecast for beginning on [nov. 17](timeRange) for [Franklinville](city)	GetWeather	False
what's the forecast for [sep. 26](timeRange) in [Emerado](city) [Saint Pierre and Miquelon](country)	GetWeather	False
Will there be a [blizzard](condition_description) [next winter](timeRange) in [Visalia](city), [Idaho](state)	GetWeather	False
Will it be [warmer](condition_temperature) in the [District Of Columbia](state) on [may 25, 2033](timeRange)?	GetWeather	False
What will the weather be [here](current_location) on [dec. 7th](timeRange)?	GetWeather	False
what is the forecast for [colder](condition_temperature) temps beginning on [Law Day](timeRange) [here](current_location)	GetWeather	False
What's the weather like in [Tyonek](city), [New Jersey](state)	GetWeather	False
what is the forecast for [here](current_location) for [blizzard](condition_description) conditions at [five pm](timeRange)	GetWeather	False
Will there be a [storm](condition_description) in [Gibsonia](city) at [8 p.m](timeRange)?	GetWeather	False
what is the [cold](condition_temperature) condition of our [current position](current_location) for [tomorrow](timeRange)	GetWeather	False
What will the weather be in [Hialeah Gardens](city) on [October the 24th](timeRange)?	GetWeather	False
Will it be [freezing](condition_temperature) [today](timeRange) in [Delaware and Lehigh National Heritage Corridor](geographic_poi)?	GetWeather	False
what is the forecast in [Admire](city) in [TX](state) starting at [seventeen](timeRange) 	GetWeather	False
what is the forecast in [North Carolina](state) for [Edgemoor](city)	GetWeather	False
what is the forecast for [Costa Rica](country)	GetWeather	False
Need weather for [Parc national Tolhuaca](geographic_poi) to see if it will be [fog](condition_description) today	GetWeather	False
Weather in [Walden](city) [Russia](country) on [12/26/2018](timeRange)	GetWeather	False
What's the [humidity](condition_description) [here](current_location) right [now](timeRange)?	GetWeather	False
How's the weather at [Petit Manan National Wildlife Refuge](geographic_poi) and [nearby](spatial_relation) right [now](timeRange)	GetWeather	False
what is the forecast for [Lansford](city) for [temperate](condition_temperature) weather	GetWeather	False
[overcast](condition_description) on [State Holiday](timeRange) in [Pawling Nature Reserve](geographic_poi)  and [neighboring](spatial_relation) places	GetWeather	False
I need the weather in [Wakarusa](city)	GetWeather	False
Tell me the forecast for [6 am](timeRange) in [Tatra-Nationalpark](geographic_poi)	GetWeather	False
Tell me the weather forecast for [UT](state) on [thursday](timeRange)	GetWeather	False
what is the forecast for [Turtle Islands National Park](geographic_poi)	GetWeather	False
Will it be [hotter](condition_temperature) in [PR](state) at [23 o'clock](timeRange)?	GetWeather	False
Weather [in two hours](timeRange)  in [Uzbekistan](country)	GetWeather	False
What is the forecast for this [afternoon](timeRange) for [blizzard](condition_description) conditions in [Dieterich](city) [Chad](country)	GetWeather	False
how's the weather [here](current_location) at [two Am](timeRange)	GetWeather	False
will [Custer National Forest](geographic_poi) be [chillier](condition_temperature) at [seven Pm](timeRange)	GetWeather	False
what is the forecast for starting at [three a.m](timeRange) in [Two Buttes](city) for [warm](condition_temperature) weather	GetWeather	False
What's the weather in [Fox Chapel](city)?	GetWeather	False
What is the [rain](condition_description) forecast for [one hour from now](timeRange) in [South Korea](country)	GetWeather	False
Tell me the weather forecast [here](current_location)	GetWeather	False
Will there be a [cloud](condition_description) in [VI](state) [in 14 minutes](timeRange) ?	GetWeather	False
How much [colder](condition_temperature) will it be [not far](spatial_relation) from [Utah](state) around [3 Am](timeRange)?	GetWeather	False
Will it be [chilly](condition_temperature) [midday](timeRange) in [Cresbard](city) [Afghanistan](country)?	GetWeather	False
What will the weather be in [Sarygamyş Sanctuary](geographic_poi) on [august 21, 2035](timeRange)?	GetWeather	False
Will it be [rainy](condition_description) in [Tenino](city)?	GetWeather	False
Will it be [hot](condition_temperature) in the [Netherlands](country) on [February 16th](timeRange)?	GetWeather	False
Where is [Belgium](country) located	GetWeather	False
What will the weather be in [Milleville Beach](city)?	GetWeather	False
I'd like to hear music that's [popular](sort) from [Trick-trick](artist) on the [Slacker](service) service	PlayMusic	True
Play [Making Out](track) by [Alexander Rosenbaum](artist) off [Google Music](service).	PlayMusic	True
I want to hear [Pamela Jintana Racine](artist) from [1986](year) on [Lastfm](service)	PlayMusic	True
is there something [new](sort) you can play by [Lola Monroe](artist)	PlayMusic	True
I want to hear something from [Post-punk Revival](genre)	PlayMusic	True
[Song](music_item) from [Brian Chase](artist) in [2004](year)	PlayMusic	True
give me something from the [fifties](year)	PlayMusic	True
Play the [top](sort) music from [Epic Mazur](artist).	PlayMusic	True
I want to hear [track](music_item) [34](track).	PlayMusic	True
I want something from the year [1961](year) that was on [record](music_item) from [deezer](service)	PlayMusic	True
Play some [eighties](year) music by [Emil De Cou](artist) on [Slacker](service)	PlayMusic	True
Let's listen to [Matthew Shipp](artist).	PlayMusic	True
Play [Natalie Maines](artist) [1959](year) [concerto](music_item).	PlayMusic	True
put on a [Serge Robert](artist) [track](music_item)	PlayMusic	True
Play some [Hridaynath Mangeshkar](artist)	PlayMusic	True
Play music from [Sleepy John Estes](artist) from [2002](year).	PlayMusic	True
Play a [sound track](music_item) from [1952](year).	PlayMusic	True
I want to hear music from [Fonzworth Bentley](artist) using the service [slacker](service) with any [song](music_item)	PlayMusic	True
Open up [Google Music](service) and play anything.	PlayMusic	True
Play music from [Youtube](service).	PlayMusic	True
Please play the [album](music_item) [Prvi Poljubac](album) by [Hiroki Uchi](artist) on [Youtube](service).	PlayMusic	True
I want to hear [Merry Go Round](track) by [Gary Nichols](artist) from [Groove Shark](service) please.	PlayMusic	True
Play the [top-twenty](sort) from [Tony Calder](artist) off [Slacker](service).	PlayMusic	True
Let me hear [Wintley Phipps](artist) [top fifty](sort) [album](music_item).	PlayMusic	True
Play an [album](music_item) from [1956](year) off [Spotify](service).	PlayMusic	True
play me some [Dom Pachino](artist)	PlayMusic	True
See if [Netflix](service) has the [Lightspeed Champion](artist) [album](music_item) [boris](album)	PlayMusic	True
Play a [symphony](music_item) from [1989](year)	PlayMusic	True
I wish to listen to some [fifties](year) music.	PlayMusic	True
I want to hear music from [1993](year) on [pandora](service).	PlayMusic	True
Put [The Silent Enigma](album) [album](music_item) by [Yoko Kanno](artist)	PlayMusic	True
Please play [Every Woman In Me](album)	PlayMusic	True
play a [good](sort) [song](music_item) by [Baaba Maal](artist) on [Lastfm](service)	PlayMusic	True
Play [bouncy techno](genre) from [Lastfm](service).	PlayMusic	True
play [In The Disco](track) by [Danny Hutton](artist)	PlayMusic	True
Play some [lyn paul](artist)	PlayMusic	True
Play [Ocean Beach](album) from [paul delay](artist).	PlayMusic	True
Play music from the [thirties](year) by [Swjatoslaw Wakartschuk](artist).	PlayMusic	True
I would like to hear [The Worst Is Yet To Come](track).	PlayMusic	True
I would like to hear something from [Groove Shark](service)	PlayMusic	True
Can you play [nineties](year) music from [Paul Kelly](artist)?	PlayMusic	True
play the [latest](sort) [movement](music_item) by [Charlie Higgins](artist)	PlayMusic	True
Play some [chant](music_item) from [1974](year)	PlayMusic	True
Go to [Mick Fleetwood](artist) on my [Vimeo](service)	PlayMusic	True
Play a [tune](music_item) from [2007](year).	PlayMusic	True
Play some [klezmer fiddle](genre)	PlayMusic	True
Play the [Broom Of The Cowdenknowes](track).	PlayMusic	True
I want to hear my [Entre los Andes](playlist) playlist.	PlayMusic	True
Can you play some decent work by [Timour Moutsouraev](artist)?	PlayMusic	True
Play some [1988](year) [Harry T. Burleigh](artist)	PlayMusic	True
[most popular](sort) [song](music_item) of [taco ockerse](artist)	PlayMusic	True
Play [Tennessee Saturday Night](track) by [Mr. Porter](artist)	PlayMusic	True
Please play a [track](music_item) from the [nineties](year) by any artist	PlayMusic	True
Can I hear [Anna Vissi](artist)'s [new](sort) music on [Pandora](service)?	PlayMusic	True
let's listen to the [1986](year) [sound track](music_item) by [Mike Park](artist)	PlayMusic	True
I want to hear the [last](sort) [album](music_item) from [Frank Iero](artist)	PlayMusic	True
Play [them](music_item) [good](sort) songs by [The Singing Nun](artist)	PlayMusic	True
Play [them](music_item) the [greatest](sort) music by [Chris Frantz](artist).	PlayMusic	True
Play me a [concerto](music_item) by [Jethro Burns](artist) from [Zvooq](service)	PlayMusic	True
Can you play some music by [Abatte Barihun](artist)?	PlayMusic	True
I want to hear [Shooby Taylor](artist)'s [Tearing Up The Album Charts](album).	PlayMusic	True
Play [itunes](service) and [Vimeo](service) music	PlayMusic	True
play something [new](sort) by [tansen](artist)	PlayMusic	True
Please play [Last Fm](service) from [Le Jardin De Heavenly](album) by [Edward Leeson](artist)	PlayMusic	True
Open [Itunes](service) and play some [twenties](year) songs.	PlayMusic	True
play music from [1974](year)	PlayMusic	True
Play some [Grand Puba](artist).	PlayMusic	True
Play the [top fifty](sort) by [Kate Bush](artist).	PlayMusic	True
Play the [Stephen Stills](artist) [album](music_item) [Verge](album)	PlayMusic	True
I need some [Hardcore Hip Hop](genre)	PlayMusic	True
play the [new](sort) [Feist](artist) on [deezer](service)	PlayMusic	True
Play [Gaston](track) by [Daniel De Los Reyes](artist).	PlayMusic	True
Play [Man Like Me](album) by [heather b.](artist)	PlayMusic	True
Put some of [Patrick Lachman](artist)'s [eighties](year) music on [Zvooq](service)	PlayMusic	True
please, a [sound track](music_item) of [Jyotsna Radhakrishnan](artist)	PlayMusic	True
Play some [Darkcore](genre).	PlayMusic	True
i want to listen to [Say It Again](track) by [Blackstratblues](artist)	PlayMusic	True
Can I hear [Jeremy Taggart](artist)'s [newest](sort) [chant](music_item) on [Deezer](service)?	PlayMusic	True
I would like to hear music from [1993](year)	PlayMusic	True
I want to hear music from the [top fifty](sort) by [Yasuhiko Fukuda](artist)	PlayMusic	True
Play [seventies](year) music on [Itunes](service)	PlayMusic	True
Open up [Last Fm](service) and play me some [Medieval Folk Rock](genre)	PlayMusic	True
I'd like to listen to [mark rae](artist)	PlayMusic	True
play the [most popular](sort) [Bret Michaels](artist) [record](music_item)	PlayMusic	True
I want to listen to [Lastfm](service), play [A Drop Of The Hard Stuff](album) by [Joi Chua](artist).	PlayMusic	True
I wanna listen to [Electroclash](genre)	PlayMusic	True
Play [March 12](album) by [John Moyer](artist) on [Groove Shark](service).	PlayMusic	True
Play an [ep](music_item) from [Preap Sovath](artist).	PlayMusic	True
I want to listen to some music from [2003](year) on [Pandora](service) from [them](music_item)	PlayMusic	True
Play the [Vic Damone](artist) [album](music_item) named [Tuonela](album)	PlayMusic	True
Play some [nineties](year) stuff from [Clem Burke](artist).	PlayMusic	True
Play a [song](music_item) from [Lars Danielsson](artist) from the [fourties](year) using the service [Last Fm](service)	PlayMusic	True
Open [Lastfm](service) and sort by the [top-fifty](sort) by the artist [Korpiklaani](artist).	PlayMusic	True
put th [Power Gaming](playlist) playlist	PlayMusic	True
something on [Spotify](service) please	PlayMusic	True
Play some [concerto](music_item) from [T. S. Monk](artist).	PlayMusic	True
Can you play the [Star Tales](album) [album](music_item) by [Colleen](artist)?	PlayMusic	True
Play some [G. V. Prakash Kumar](artist)	PlayMusic	True
Play [Got Djent?](playlist)	PlayMusic	True
I want to hear [Jimmy James](artist) from the [thirties](year), play a [song](music_item) on [Groove Shark](service).	PlayMusic	True
I want to play music from [1979](year) on [Groove Shark](service).	PlayMusic	True
Please play something from the [twenties](year) [google music](service)	PlayMusic	True
Play a [song](music_item) from [1994](year).	PlayMusic	True
Please play a [song](music_item) from [Jesse Harris](artist) that's on [Youtube](service)	PlayMusic	True
Play music from [Linzi Stoppard](artist) in [1994](year) from [itunes](service).	PlayMusic	True
Please play something from the [fifties](year) by [Roscoe](artist)	PlayMusic	True
Play a [ballad](music_item) by [Project Pat](artist) on [google music](service).	PlayMusic	True
can i lesten to the [latest](sort) [album](music_item) of [T-bone Burnett](artist)	PlayMusic	True
Play [chant](music_item) music from [2016](year) off [Pandora](service).	PlayMusic	True
Play some [good](sort) music from [Jamelia](artist).	PlayMusic	True
Play [Alabama Concerto](album) by [Kou Shibasaki](artist).	PlayMusic	True
Play some [good](sort) [symphony](music_item) music from [Avispa](artist).	PlayMusic	True
I want to hear the [greatest](sort) [hits](playlist) from [King Ov Hell](artist) on [vimeo](service) 	PlayMusic	True
Play [Pandora](service) on [Last Fm](service)	PlayMusic	True
Let's listen to the [best](sort) from [Jeff Loomis](artist).	PlayMusic	True
Play [Goldie Hill](artist)'s [record](music_item) on [Google Music](service).	PlayMusic	True
Please play [Jim Martin](artist) on [Vimeo](service).	PlayMusic	True
Play [Bonnie Annie](track) by [Tolmatschowa-schwestern](artist) on [last fm](service).	PlayMusic	True
Play my [Women of Rock](playlist) playlist.	PlayMusic	True
I want to hear [Nellie Mckay](artist)'s [new](sort) music.	PlayMusic	True
Play [Moris Tepper](artist)	PlayMusic	True
I need a [SOUNDTRACK FOR STUDY](playlist) purposes.	PlayMusic	True
Play [concerto](music_item) music by [Nicholaus Arson](artist).	PlayMusic	True
Can you play [Slacker](service)?	PlayMusic	True
Play [Maria Severa Onofriana](artist) and sort by [most popular](sort).	PlayMusic	True
I'm looking for a [movement](music_item) by [Asim Brkan](artist) that's on [Netflix](service) [best](sort) channel	PlayMusic	True
Use [Youtube](service) to play the [soundtrack](music_item) from [Manos Hadzidakis](artist).	PlayMusic	True
Play [Too Much Rain](track) by the artist [D-loc](artist).	PlayMusic	True
Play something by [Louisiana Blues](genre)	PlayMusic	True
play [This Is Colour](track) by [Panda Bear](artist)	PlayMusic	True
Please play some [nineties](year) music by [Tommy Johnson](artist).	PlayMusic	True
Play from the [top](sort) [record](music_item) from [1973](year) by [Olexandr Ponomarjow](artist).	PlayMusic	True
Play [rock like war](track) from [Mohammad Reza Lotfi](artist) please	PlayMusic	True
Play something by the artist [Jenifer](artist) from [2003](year)	PlayMusic	True
Please play my [Happy House](playlist) playlist.	PlayMusic	True
Play [Ashita E](track) by [Ian Anderson](artist)	PlayMusic	True
Play music from [Stacy Ferguson](artist) from the [fourties](year)	PlayMusic	True
I would like to hear [lastfm](service) play [journey](playlist).	PlayMusic	True
play some [movement](music_item) by [Franky Gee](artist)	PlayMusic	True
Play the [top-5](sort) [track](music_item) from [Boris Liatochinski](artist).	PlayMusic	True
play [them](music_item) by [Guy-manuel De Homem-christo](artist)	PlayMusic	True
Can i get a [song](music_item) from the [eighties](year) on [Zvooq](service)	PlayMusic	True
I'm looking for something by [Young Rome](artist) from [2001](year) on [Groove Shark](service)	PlayMusic	True
Play a [popular](sort) [sound track](music_item) by [Joe Pass](artist) on [Itunes](service).	PlayMusic	True
Please play [symphony](music_item) by [Travis Mccoy](artist)	PlayMusic	True
Play some [fun-punk](genre)	PlayMusic	True
I want to hear an [album](music_item) from [2010](year)	PlayMusic	True
play some [movement](music_item) from the [fifties](year) on [Spotify](service)	PlayMusic	True
Play [Tom Thacker](artist) through a [top](sort) sort.	PlayMusic	True
Play anything you want from [Slacker](service)	PlayMusic	True
I want to hear from [Pepe Marchena](artist) [song](music_item) [Delaware](track)	PlayMusic	True
Play [Monts Et Merveilles](track).	PlayMusic	True
I want to hear music from [carman](artist) from the [1966](year) [album](music_item)	PlayMusic	True
Play some [twenties](year) music	PlayMusic	True
Play some [1983](year) [Jon Brooks](artist)	PlayMusic	True
Play some [Jerry Dixon](artist)	PlayMusic	True
Play an [ep](music_item) from [Little Jimmy Dickens](artist).	PlayMusic	True
Please play the genre [Rock Strumentale](genre).	PlayMusic	True
I'd like to hear [Grievance](track) from the [Youtube](service) service	PlayMusic	True
Put some [fifties](year) music on [Netflix](service)	PlayMusic	True
Please play [Short And Sweet](album) by [Teyana Taylor](artist) from my [itunes](service).	PlayMusic	True
Play some [pop](genre) music.	PlayMusic	True
Play the [greatest](sort) hits by [Inoj](artist).	PlayMusic	True
Please play the [latest](sort) [ep](music_item) by the [fifties](year) famous [Gholam Hossein Banan](artist).	PlayMusic	True
Play a [tune](music_item) from [1973](year).	PlayMusic	True
Play [Arif](artist) music from the [fourties](year).	PlayMusic	True
Play a [song](music_item) from the [fourties](year) by [Deezer](service) through [Fakhar-e-alam](artist).	PlayMusic	True
I wish to listen to [Gonna Get Along Without Ya Now](track) by [Ian Curtis](artist).	PlayMusic	True
I'm looking for the [last](sort) [track](music_item) by [Fei Yu Ching](artist) from the [fourties](year)	PlayMusic	True
I want to hear [Choice](artist) on [Last Fm](service) from the [twenties](year).	PlayMusic	True
Please play [With Echoes In The Movement Of Stone](album) by [Faith Evans](artist).	PlayMusic	True
Play me a [track](music_item) from the [sixties](year)	PlayMusic	True
Play music off [Itunes](service).	PlayMusic	True
Play [Gary Jules](artist)'s [latest](sort) music	PlayMusic	True
Let's hear something from [Elena Risteska](artist)	PlayMusic	True
Play [Les Lecter Smith](artist) from [deezer](service).	PlayMusic	True
play me something from the [fifties](year)	PlayMusic	True
Could you play the [album](music_item) [B Men Gahō](album) by [Nathaniel Shilkret](artist)	PlayMusic	True
I want to hear music from the [Lotus Flower](album) [album](music_item) by [Andy Mccoy](artist)	PlayMusic	True
Please play [Different Slanguages](album) by [Fred Labour](artist).	PlayMusic	True
Play some [1993](year) [Mark Maclaine](artist) on [Deezer](service)	PlayMusic	True
Play some [pambiche](genre) please	PlayMusic	True
Start the [Last Fm](service) service with a [song](music_item) from [1976](year)	PlayMusic	True
I want to listen to [Foreign Affair](track).	PlayMusic	True
Can you play it on [Youtube](service)?	PlayMusic	True
Play an [ep](music_item) by [Cristy Lane](artist) off [google music](service).	PlayMusic	True
Put [Lo mejor de Radio 3](playlist) on in the background	PlayMusic	True
Play [nineties](year) music.	PlayMusic	True
Play a [song](music_item) from the [thirties](year) by [Bruno Pelletier](artist)	PlayMusic	True
Can you play [Deezer](service) from [2007](year)?	PlayMusic	True
We want to listen to [nineties](year) music from [mike burkett](artist).	PlayMusic	True
play [Facedown](album) by [Maximum Bob](artist)	PlayMusic	True
Please play some [nineties](year) music [album](music_item).	PlayMusic	True
Play [Bad Boy Bill](artist)	PlayMusic	True
I want to hear music from the [sixties](year).	PlayMusic	True
Play the [latest](sort) [Bobby Darin](artist).	PlayMusic	True
play some music from the [thirties](year)	PlayMusic	True
Play the [track](music_item) [Fight On, State](track) by [Yuvan Shankar Raja](artist)	PlayMusic	True
give me some [Hank Shermann](artist) from [1975](year) on [Lastfm](service)	PlayMusic	True
Play [Murdoc Nicalls](artist) through [Itunes](service).	PlayMusic	True
Give me some [Musica Post-industriale](genre) from [Groove Shark](service)	PlayMusic	True
Start blasting my [Latin Jazz](playlist) playlist.	PlayMusic	True
Play [them](music_item) by [Jt The Bigga Figga](artist).	PlayMusic	True
I want to hear the [album](music_item) [Live In Munich](album) by [Laura Love](artist).	PlayMusic	True
I want to hear a [symphony](music_item) by [Raf](artist)	PlayMusic	True
Play the [sound track](music_item) from [Raymond Murray Schafer](artist) please	PlayMusic	True
Play a [melody](music_item) from [2010](year) off [Itunes](service).	PlayMusic	True
put my [raining](playlist) playlist on	PlayMusic	True
Play the [Get Turnt](playlist) playlist.	PlayMusic	True
I wish to enjoy some [fifties](year) music by [Johnny Paycheck](artist).	PlayMusic	True
Play [the man who sold the world](album) from [Steve Swell](artist)	PlayMusic	True
Play [biguine](genre) music.	PlayMusic	True
Play the [latest](sort) [Peter Green](artist).	PlayMusic	True
Something by [Danielle Polanco](artist) in [1986](year)	PlayMusic	True
Play something from the genre [muzyka pop](genre)	PlayMusic	True
Play using from [ep](music_item) of [Christopher Martin](artist) using [Lastfm](service)	PlayMusic	True
I want to hear music from the genre [Ecossaise](genre)	PlayMusic	True
Play [pop-rap](genre) off [Google Music](service).	PlayMusic	True
I want to hear [Aki Nawaz](artist), play the [song](music_item) [fair annie](track).	PlayMusic	True
Play [Kastro Tis Orias](track) by [Karl Denson](artist) off [Lastfm](service).	PlayMusic	True
Play [Tony Crombie](artist) songs that inspire [movement](music_item)	PlayMusic	True
Please play [below the lion rock](track) by [stereo mike](artist)	PlayMusic	True
I want to hear [Eddi Reader](artist) from the [twenties](year).	PlayMusic	True
Play the [album](music_item) entitled [Se Potrei Avere Te](album).	PlayMusic	True
give me some [Last Emperor](artist)	PlayMusic	True
Play some [art punk](genre).	PlayMusic	True
Play music off [Youtube](service).	PlayMusic	True
Open up [Groove Shark](service).	PlayMusic	True
Play [Donny Tourette](artist)'s [Push The Button](track)	PlayMusic	True
I want to listen to an [album](music_item) from [Sibel](artist).	PlayMusic	True
Play music from [Lastfm](service) and [Deezer](service).	PlayMusic	True
Play [addicts: black meddle, part ii](album).	PlayMusic	True
Play the [best](sort) music from [Klaus Badelt](artist).	PlayMusic	True
